C,ABQ_EN_S_07,MOB_EN_C_02,REN_EN_S_05,SLV_EN_M_03,TES_EN_M_04,MAL_EN_C_02,MAL_EN_C_04,LOG_EN_S_07,SLV_EN_O_04,PAS_EN_X_01,TES_EN_N_06,ABQ_EN_S_05,,,4,REN_EN_S_01,MAL_EN_M_02,SLV_EN_M_03,MOB_EN_C_07,MAL_EN_N_07,ABQ_EN_S_04,TES_EN_N_04,MAL_EN_M_01
D,LOG_EN_S_03,SLV_EN_F_03,ABQ_EN_S_03,MOB_EN_C_07,REN_EN_C_03,SNM_EN_M_05,MOB_EN_G_06,TES_EN_C_02,LOG_EN_S_01,SLV_EN_O_03,ABQ_EN_S_01,SNM_EN_M_03,,,5,SNM_EN_M_07,MAL_EN_N_05,TES_EN_M_04,REN_EN_C_03,REN_EN_C_01,REN_EN_H_01,REN_EN_C_02,REN_EN_H_05
E,RGG_EN_S_02,BRG_EN_F_02,SLV_EN_M_02,MAL_EN_N_07,REN_EN_C_01,SNM_EN_M_02,REN_EN_S_06,MOB_EN_S_07,PAS_EN_X_03,TES_EN_M_02,MOB_EN_G_07,TRQ_EN_F_02,,,6,MAL_EN_N_02,REN_EN_H_03,MAL_EN_C_02,SNM_EN_M_05,SNM_EN_M_02,LOG_EN_S_04,DRY_EN_N_04,TRQ_EN_F_05
F,MOB_EN_S_01,MAL_EN_N_01,GUN_EN_F_05,ABQ_EN_S_04,REN_EN_H_01,LOG_EN_S_04,SLV_EN_M_04,MAL_EN_C_05,LIM_EN_F_03,BOU_EN_C_03,TRQ_EN_F_03,MAL_EN_M_05,,,7,GUN_EN_F_02,SLV_EN_O_01,MAL_EN_C_04,MOB_EN_G_06,REN_EN_S_06,SLV_EN_M_04,SLV_EN_F_01,REN_EN_S_03
G,MOB_EN_S_06,SLV_EN_M_01,TES_EN_M_01,TES_EN_N_04,REN_EN_C_02,DRY_EN_N_04,SLV_EN_F_01,DRY_EN_N_03,SLV_EN_F_07,RGG_EN_S_07,REN_EN_S_02,TES_EN_S_02,,,8,MAL_EN_M_04,DRY_EN_N_01,LOG_EN_S_07,TES_EN_C_02,MOB_EN_S_07,MAL_EN_C_05,DRY_EN_N_03,TES_EN_M_07
H,MAL_EN_N_03,RGG_EN_S_05,REN_EN_S_04,MAL_EN_M_01,REN_EN_H_05,TRQ_EN_F_05,REN_EN_S_03,TES_EN_M_07,DRY_EN_N_06,BOU_EN_S_02,PAS_EN_X_07,TES_EN_N_02,,,9,RGG_EN_S_04,SLV_EN_F_05,SLV_EN_O_04,LOG_EN_S_01,PAS_EN_X_03,LIM_EN_F_03,SLV_EN_F_07,DRY_EN_N_06
,,,,,,,,,,,,,,,10,TES_EN_M_03,TRE_EN_F_01,PAS_EN_X_01,SLV_EN_O_03,TES_EN_M_02,BOU_EN_C_03,RGG_EN_S_07,BOU_EN_S_02
,,,,,,,,,,,,,,,11,MEE_EN_F_01,SLV_EN_M_06,TES_EN_N_06,ABQ_EN_S_01,MOB_EN_G_07,TRQ_EN_F_03,REN_EN_S_02,PAS_EN_X_07
,,,,,,,,,,,,,,,12,DRY_EN_N_02,TRQ_EN_F_06,ABQ_EN_S_05,SNM_EN_M_03,TRQ_EN_F_02,MAL_EN_M_05,TES_EN_S_02,TES_EN_N_02
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Date loaded: 9.26.22,,,,Plate Name: Plant 2,,,,,,,,,,,,A,B,C,D,E,F,G,H
,1,2,3,4,5,6,7,8,9,10,11,12,,,1,GUN_EN_F_07,TES_EN_C_03,TES_EN_C_01,SLV_EN_O_05,REN_EN_H_02,DRY_EN_N_07,GUN_EN_F_01,REN_EN_S_07
A,GUN_EN_F_07,MAL_EN_N_04,SNM_EN_M_01,SLV_EN_M_07,RGG_EN_C_04,TRQ_EN_F_07,RGG_EN_C_05,MAL_EN_M_07,TES_EN_S_03,BOU_EN_S_01,REN_EN_H_07,TES_EN_C_07,,,2,MAL_EN_N_04,TES_EN_M_05,RGG_EN_S_06,RGG_EN_S_01,TRQ_EN_F_04,TES_EN_S_04,RGG_EN_C_07,MOB_EN_G_05
B,TES_EN_C_03,TES_EN_M_05,REN_EN_H_06,MOB_EN_C_01,BOU_EN_C_01,MAL_EN_M_03,BOU_EN_S_03,TRE_EN_F_05,TES_EN_S_05,RGG_EN_S_03,LOG_EN_S_02,ABQ_EN_S_06,,,3,SNM_EN_M_01,REN_EN_H_06,BOU_EN_C_02,MOB_EN_G_03,TES_EN_S_07,TES_EN_N_01,MOB_EN_S_04,BRG_EN_F_01
C,TES_EN_C_01,RGG_EN_S_06,BOU_EN_C_02,TES_EN_C_06,TES_EN_M_06,TRE_EN_F_06,LIM_EN_F_04,ABQ_EN_S_02,SLV_EN_O_02,TRE_EN_F_07,SNM_EN_M_04,PAS_EN_X_06,,,4,SLV_EN_M_07,MOB_EN_C_01,TES_EN_C_06,SLV_EN_F_06,MEE_EN_F_05,DRY_EN_N_05,MAL_EN_M_06,MOB_EN_S_03
